Variable,Country,Year,Value
Total fat supply,United Kingdom,2018,139.0
Total fat supply,United Kingdom,2019,144.9
Total fat supply,United Kingdom,2020,145.2
Total fat supply,United States of America,1995,140.3
Total fat supply,United States of America,1996,137.4
Total fat supply,United States of America,1997,139.7
Total fat supply,United States of America,1998,142.8
Total fat supply,United States of America,1999,146.5
Total fat supply,United States of America,2000,154.4
Total fat supply,United States of America,2001,154.8
Total fat supply,United States of America,2002,159.9
Total fat supply,United States of America,2003,158.6
Total fat supply,United States of America,2004,161.7
Total fat supply,United States of America,2005,165.0
Total fat supply,United States of America,2006,162.5
Total fat supply,United States of America,2007,163.2
Total fat supply,United States of America,2008,161.4
Total fat supply,United States of America,2009,159.3
Total fat supply,United States of America,2010,159.9
Total fat supply,United States of America,2011,161.7
Total fat supply,United States of America,2012,162.2
Total fat supply,United States of America,2013,161.5
Total fat supply,United States of America,2014,163.2
Total fat supply,United States of America,2015,164.9
Total fat supply,United States of America,2016,166.5
Total fat supply,United States of America,2017,168.0
Total fat supply,United States of America,2018,178.6
Total fat supply,United States of America,2019,182.8
Total fat supply,United States of America,2020,183.9
Total fat supply,Chile,1995,77.9
Total fat supply,Chile,1996,79.1
Total fat supply,Chile,1997,78.7
Total fat supply,Chile,1998,80.1
Total fat supply,Chile,1999,79.5
Total fat supply,Chile,2000,83.1
Total fat supply,Chile,2001,84.0
Total fat supply,Chile,2002,84.6
Total fat supply,Chile,2003,85.7
Total fat supply,Chile,2004,84.5
Total fat supply,Chile,2005,80.9
Total fat supply,Chile,2006,86.7
Total fat supply,Chile,2007,88.2
Total fat supply,Chile,2008,86.5
Total fat supply,Chile,2009,83.8
Total fat supply,Chile,2010,80.3
Total fat supply,Chile,2011,82.3
Total fat supply,Chile,2012,84.8
Total fat supply,Chile,2013,88.3
Total fat supply,Chile,2014,91.1
Total fat supply,Chile,2015,90.7
Total fat supply,Chile,2016,90.5
Total fat supply,Chile,2017,90.6
Total fat supply,Chile,2018,91.1
Total fat supply,Chile,2019,95.8
Total fat supply,Chile,2020,100.5
Total fat supply,Estonia,1995,90.3
Total fat supply,Estonia,1996,91.4
Total fat supply,Estonia,1997,91.6
Total fat supply,Estonia,1998,95.0
Total fat supply,Estonia,1999,102.4
Total fat supply,Estonia,2000,86.5
Total fat supply,Estonia,2001,89.2
Total fat supply,Estonia,2002,99.1
Total fat supply,Estonia,2003,101.6
Total fat supply,Estonia,2004,97.8
Total fat supply,Estonia,2005,91.8
Total fat supply,Estonia,2006,95.0
Total fat supply,Estonia,2007,93.5
Total fat supply,Estonia,2008,93.8
Total fat supply,Estonia,2009,95.6
Total fat supply,Estonia,2010,92.0
Total fat supply,Estonia,2011,88.9
Total fat supply,Estonia,2012,93.8
Total fat supply,Estonia,2013,90.6
Total fat supply,Estonia,2014,106.6
Total fat supply,Estonia,2015,120.1
Total fat supply,Estonia,2016,119.4
Total fat supply,Estonia,2017,119.4
Total fat supply,Estonia,2018,125.2
Total fat supply,Estonia,2019,140.3
Total fat supply,Estonia,2020,133.7
Total fat supply,Israel,1995,122.8
Total fat supply,Israel,1996,126.1
Total fat supply,Israel,1997,124.5
Total fat supply,Israel,1998,124.2
Total fat supply,Israel,1999,122.4
Total fat supply,Israel,2000,129.1
Total fat supply,Israel,2001,137.5
Total fat supply,Israel,2002,141.0
Total fat supply,Israel,2003,139.8
Total fat supply,Israel,2004,148.0
Total fat supply,Israel,2005,147.7
Total fat supply,Israel,2006,150.2
Total fat supply,Israel,2007,146.1
Total fat supply,Israel,2008,147.4
Total fat supply,Israel,2009,145.8
Total fat supply,Israel,2010,142.1
Total fat supply,Israel,2011,142.3
Total fat supply,Israel,2012,148.7
Total fat supply,Israel,2013,146.8
Total fat supply,Israel,2014,150.6
Total fat supply,Israel,2015,149.0
Total fat supply,Israel,2016,154.4
Total fat supply,Israel,2017,157.1
Total fat supply,Israel,2018,148.8
Total fat supply,Israel,2019,143.3
Total fat supply,Israel,2020,146.3
Total fat supply,Slovenia,1995,100.5
Total fat supply,Slovenia,1996,106.2
Total fat supply,Slovenia,1997,104.6
Total fat supply,Slovenia,1998,98.1
Total fat supply,Slovenia,1999,105.8
Total fat supply,Slovenia,2000,107.8
Total fat supply,Slovenia,2001,115.4
Total fat supply,Slovenia,2002,115.9
Total fat supply,Slovenia,2003,120.3
Total fat supply,Slovenia,2004,120.7
Total fat supply,Slovenia,2005,117.6
Total fat supply,Slovenia,2006,118.9
Total fat supply,Slovenia,2007,119.6
Total fat supply,Slovenia,2008,121.9
Total fat supply,Slovenia,2009,121.9
Total fat supply,Slovenia,2010,121.8
Total fat supply,Slovenia,2011,119.4
Total fat supply,Slovenia,2012,118.9
Total fat supply,Slovenia,2013,119.5
Total fat supply,Slovenia,2014,113.6
Total fat supply,Slovenia,2015,111.6
Total fat supply,Slovenia,2016,114.6
Total fat supply,Slovenia,2017,115.4
Total fat supply,Slovenia,2018,114.4
Total fat supply,Slovenia,2019,114.4
Total fat supply,Slovenia,2020,116.6
Total fat supply,Colombia,1995,67.3
Total fat supply,Colombia,1996,68.8
Total fat supply,Colombia,1997,68.4
Total fat supply,Colombia,1998,68.8
Total fat supply,Colombia,1999,68.8
Total fat supply,Colombia,2000,73.2
Total fat supply,Colombia,2001,73.0
Total fat supply,Colombia,2002,73.2
Total fat supply,Colombia,2003,72.7
Total fat supply,Colombia,2004,71.8
Total fat supply,Colombia,2005,73.6
Total fat supply,Colombia,2006,75.6
Total fat supply,Colombia,2007,75.9
Total fat supply,Colombia,2008,77.2
Total fat supply,Colombia,2009,74.3
Total fat supply,Colombia,2010,77.9
Total fat supply,Colombia,2011,77.8
Total fat supply,Colombia,2012,81.1
Total fat supply,Colombia,2013,81.2
Total fat supply,Colombia,2014,84.5
Total fat supply,Colombia,2015,86.2
Total fat supply,Colombia,2016,85.6
Total fat supply,Colombia,2017,91.0
Total fat supply,Colombia,2018,90.4
Total fat supply,Colombia,2019,88.3
Total fat supply,Colombia,2020,91.3
Total fat supply,Costa Rica,1995,78.9
Total fat supply,Costa Rica,1996,79.1
Total fat supply,Costa Rica,1997,74.0
Total fat supply,Costa Rica,1998,73.1
Total fat supply,Costa Rica,1999,75.2
Total fat supply,Costa Rica,2000,78.0
Total fat supply,Costa Rica,2001,76.9
Total fat supply,Costa Rica,2002,78.6
Total fat supply,Costa Rica,2003,78.1
Total fat supply,Costa Rica,2004,82.1
Total fat supply,Costa Rica,2005,82.3
Total fat supply,Costa Rica,2006,86.2
Total fat supply,Costa Rica,2007,87.5
Total fat supply,Costa Rica,2008,87.7
Total fat supply,Costa Rica,2009,87.5
Total fat supply,Costa Rica,2010,87.9
Total fat supply,Costa Rica,2011,90.0
Total fat supply,Costa Rica,2012,87.5
Total fat supply,Costa Rica,2013,90.3
Total fat supply,Costa Rica,2014,91.4
Total fat supply,Costa Rica,2015,94.3
Total fat supply,Costa Rica,2016,97.4
Total fat supply,Costa Rica,2017,106.1
Total fat supply,Costa Rica,2018,103.5
Total fat supply,Costa Rica,2019,103.9
Total fat supply,Costa Rica,2020,105.6
Total fat supply,Latvia,1995,100.7
Total fat supply,Latvia,1996,95.0
Total fat supply,Latvia,1997,90.4
Total fat supply,Latvia,1998,89.1
Total fat supply,Latvia,1999,89.2
Total fat supply,Latvia,2000,92.4
Total fat supply,Latvia,2001,100.9
Total fat supply,Latvia,2002,109.4
Total fat supply,Latvia,2003,111.8
Total fat supply,Latvia,2004,119.5
Total fat supply,Latvia,2005,118.7
Total fat supply,Latvia,2006,128.2
Total fat supply,Latvia,2007,124.2
Total fat supply,Latvia,2008,120.4
Total fat supply,Latvia,2009,121.0
Total fat supply,Latvia,2010,120.0
Total fat supply,Latvia,2011,119.9
Total fat supply,Latvia,2012,118.0
Total fat supply,Latvia,2013,119.5
Total fat supply,Latvia,2014,122.5
Total fat supply,Latvia,2015,125.0
Total fat supply,Latvia,2016,124.0
Total fat supply,Latvia,2017,127.5
Total fat supply,Latvia,2018,128.1
Total fat supply,Latvia,2019,135.3
Total fat supply,Latvia,2020,141.6
Total fat supply,Lithuania,1995,61.7
Total fat supply,Lithuania,1996,69.6
Total fat supply,Lithuania,1997,75.9
Total fat supply,Lithuania,1998,75.2
Total fat supply,Lithuania,1999,79.4
Total fat supply,Lithuania,2000,75.4
Total fat supply,Lithuania,2001,84.4
Total fat supply,Lithuania,2002,90.0
Total fat supply,Lithuania,2003,93.8
Total fat supply,Lithuania,2004,94.9
Total fat supply,Lithuania,2005,100.8
Total fat supply,Lithuania,2006,101.3
Total fat supply,Lithuania,2007,103.2
Total fat supply,Lithuania,2008,102.6
Total fat supply,Lithuania,2009,99.0
Total fat supply,Lithuania,2010,97.9
Total fat supply,Lithuania,2011,98.5
Total fat supply,Lithuania,2012,92.0
Total fat supply,Lithuania,2013,92.4
Total fat supply,Lithuania,2014,95.0
Total fat supply,Lithuania,2015,97.3
Total fat supply,Lithuania,2016,97.7
Total fat supply,Lithuania,2017,101.7
Total fat supply,Lithuania,2018,104.9
Total fat supply,Lithuania,2019,121.9
Total fat supply,Lithuania,2020,125.5
Total fat supply,Belgium,1995,164.9
Total fat supply,Belgium,1996,164.9
Total fat supply,Belgium,1997,164.9
Total fat supply,Belgium,1998,164.9
Total fat supply,Belgium,1999,164.9
Total fat supply,Luxembourg,1995,145.0
Total fat supply,Luxembourg,1996,145.0
Total fat supply,Luxembourg,1997,145.0
Total fat supply,Luxembourg,1998,145.0
Total fat supply,Luxembourg,1999,145.0
Total protein supply,Australia,1995,107.8
Total protein supply,Australia,1996,105.7
Total protein supply,Australia,1997,104.0
Total protein supply,Australia,1998,101.3
Total protein supply,Australia,1999,101.3
Total protein supply,Australia,2000,101.3
Total protein supply,Australia,2001,100.8
Total protein supply,Australia,2002,104.8
Total protein supply,Australia,2003,109.6
Total protein supply,Australia,2004,101.5
Total protein supply,Australia,2005,104.9
Total protein supply,Australia,2006,104.6
Total protein supply,Australia,2007,108.3
Total protein supply,Australia,2008,106.5
Total protein supply,Australia,2009,103.3
Total protein supply,Australia,2010,110.9
Total protein supply,Australia,2011,110.7
Total protein supply,Australia,2012,110.1
Total protein supply,Australia,2013,109.4
Total protein supply,Australia,2014,107.8
Total protein supply,Australia,2015,108.2
Total protein supply,Australia,2016,109.0
Total protein supply,Australia,2017,106.7
Total protein supply,Australia,2018,107.8
Total protein supply,Australia,2019,110.9
Total protein supply,Australia,2020,114.9
Total protein supply,Austria,1995,100.5
Total protein supply,Austria,1996,103.2
Total protein supply,Austria,1997,100.1
Total protein supply,Austria,1998,104.0
Total protein supply,Austria,1999,105.5
Total protein supply,Austria,2000,106.0
Total protein supply,Austria,2001,106.9
Total protein supply,Austria,2002,106.1
Total protein supply,Austria,2003,102.1
Total protein supply,Austria,2004,100.5
Total protein supply,Austria,2005,102.7
Total protein supply,Austria,2006,101.5
Total protein supply,Austria,2007,103.7
Total protein supply,Austria,2008,101.8
Total protein supply,Austria,2009,102.4
Total protein supply,Austria,2010,106.2
Total protein supply,Austria,2011,107.3
Total protein supply,Austria,2012,102.8
Total protein supply,Austria,2013,105.0
Total protein supply,Austria,2014,106.5
Total protein supply,Austria,2015,107.1
Total protein supply,Austria,2016,109.6
Total protein supply,Austria,2017,107.4
Total protein supply,Austria,2018,109.8
Total protein supply,Austria,2019,109.1
Total protein supply,Austria,2020,106.1
Total protein supply,Belgium,2000,96.6
Total protein supply,Belgium,2001,100.8
Total protein supply,Belgium,2002,100.6
Total protein supply,Belgium,2003,99.5
Total protein supply,Belgium,2004,99.3
Total protein supply,Belgium,2005,99.3
Total protein supply,Belgium,2006,100.1
Total protein supply,Belgium,2007,101.2
Total protein supply,Belgium,2008,98.4
Total protein supply,Belgium,2009,96.1
Total protein supply,Belgium,2010,96.9
Total protein supply,Belgium,2011,96.6
Total protein supply,Belgium,2012,99.0
Total protein supply,Belgium,2013,99.6
Total protein supply,Belgium,2014,98.5
Total protein supply,Belgium,2015,98.9
Total protein supply,Belgium,2016,99.8
Total protein supply,Belgium,2017,98.5
Total protein supply,Belgium,2018,98.1
Total protein supply,Belgium,2019,103.1
Total protein supply,Belgium,2020,104.8
Total protein supply,Canada,1995,98.0
Total protein supply,Canada,1996,98.7
Total protein supply,Canada,1997,100.5
Total protein supply,Canada,1998,103.3
Total protein supply,Canada,1999,107.1
Total protein supply,Canada,2000,106.1
Total protein supply,Canada,2001,105.1
Total protein supply,Canada,2002,105.3
Total protein supply,Canada,2003,104.0
Total protein supply,Canada,2004,104.8
Total protein supply,Canada,2005,102.1
Total protein supply,Canada,2006,103.5
Total protein supply,Canada,2007,104.4
Total protein supply,Canada,2008,104.7
Total protein supply,Canada,2009,103.1
Total protein supply,Canada,2010,102.1
Total protein supply,Canada,2011,101.5
Total protein supply,Canada,2012,103.5
Total protein supply,Canada,2013,102.2
Total protein supply,Canada,2014,98.7
Total protein supply,Canada,2015,97.6
Total protein supply,Canada,2016,102.4
Total protein supply,Canada,2017,104.7
Total protein supply,Canada,2018,108.0
Total protein supply,Canada,2019,107.1
Total protein supply,Canada,2020,106.7
Total protein supply,Czech Republic,1995,93.1
Total protein supply,Czech Republic,1996,95.6
Total protein supply,Czech Republic,1997,93.3
Total protein supply,Czech Republic,1998,96.9
Total protein supply,Czech Republic,1999,91.4
Total protein supply,Czech Republic,2000,90.3
Total protein supply,Czech Republic,2001,92.8
Total protein supply,Czech Republic,2002,93.0
Total protein supply,Czech Republic,2003,93.0
Total protein supply,Czech Republic,2004,96.1
Total protein supply,Czech Republic,2005,99.3
Total protein supply,Czech Republic,2006,95.3
Total protein supply,Czech Republic,2007,95.1
Total protein supply,Czech Republic,2008,93.8
Total protein supply,Czech Republic,2009,92.6
Total protein supply,Czech Republic,2010,92.8
Total protein supply,Czech Republic,2011,90.8
Total protein supply,Czech Republic,2012,86.8
Total protein supply,Czech Republic,2013,87.4
Total protein supply,Czech Republic,2014,87.4
Total protein supply,Czech Republic,2015,87.4
Total protein supply,Czech Republic,2016,88.6
Total protein supply,Czech Republic,2017,86.9
Total protein supply,Czech Republic,2018,86.4
Total protein supply,Czech Republic,2019,87.9
Total protein supply,Czech Republic,2020,90.6
Total protein supply,Denmark,1995,108.3
Total protein supply,Denmark,1996,105.7
Total protein supply,Denmark,1997,104.3
Total protein supply,Denmark,1998,107.9
Total protein supply,Denmark,1999,103.5
Total protein supply,Denmark,2000,99.9
Total protein supply,Denmark,2001,107.6
Total protein supply,Denmark,2002,107.3
Total protein supply,Denmark,2003,103.4
Total protein supply,Denmark,2004,105.6
Total protein supply,Denmark,2005,115.6
Total protein supply,Denmark,2006,112.9
Total protein supply,Denmark,2007,110.6
Total protein supply,Denmark,2008,109.3
Total protein supply,Denmark,2009,103.9
Total protein supply,Denmark,2010,109.5
Total protein supply,Denmark,2011,104.3
Total protein supply,Denmark,2012,109.2
Total protein supply,Denmark,2013,111.1
Total protein supply,Denmark,2014,108.7
Total protein supply,Denmark,2015,109.6
Total protein supply,Denmark,2016,114.3
Total protein supply,Denmark,2017,115.6
Total protein supply,Denmark,2018,118.0
Total protein supply,Denmark,2019,113.9
Total protein supply,Denmark,2020,110.8
Total protein supply,Finland,1995,97.7
Total protein supply,Finland,1996,99.1
Total protein supply,Finland,1997,101.6
Total protein supply,Finland,1998,102.9
Total protein supply,Finland,1999,101.1
Total protein supply,Finland,2000,101.2
Total protein supply,Finland,2001,102.3
Total protein supply,Finland,2002,102.1
Total protein supply,Finland,2003,104.3
Total protein supply,Finland,2004,105.3
Total protein supply,Finland,2005,106.0
Total protein supply,Finland,2006,108.1
Total protein supply,Finland,2007,110.5
Total protein supply,Finland,2008,111.8
Total protein supply,Finland,2009,109.9
Total protein supply,Finland,2010,112.2
Total protein supply,Finland,2011,113.9
Total protein supply,Finland,2012,116.0
Total protein supply,Finland,2013,116.4
Total protein supply,Finland,2014,118.0
Total protein supply,Finland,2015,118.2
Total protein supply,Finland,2016,117.6
Total protein supply,Finland,2017,118.2
Total protein supply,Finland,2018,118.5
Total protein supply,Finland,2019,119.5
Total protein supply,Finland,2020,117.9
Total protein supply,France,1995,115.0
Total protein supply,France,1996,114.8
Total protein supply,France,1997,115.6
Total protein supply,France,1998,117.3
Total protein supply,France,1999,116.9
Total protein supply,France,2000,117.5
Total protein supply,France,2001,119.1
Total protein supply,France,2002,118.9
Total protein supply,France,2003,116.3
Total protein supply,France,2004,114.1
Total protein supply,France,2005,111.3
Total protein supply,France,2006,111.0
Total protein supply,France,2007,110.6
Total protein supply,France,2008,112.6
Total protein supply,France,2009,111.2
Total protein supply,France,2010,112.4
Total protein supply,France,2011,111.0
Total protein supply,France,2012,110.5
Total protein supply,France,2013,109.9
Total protein supply,France,2014,107.1
Total protein supply,France,2015,108.9
Total protein supply,France,2016,109.6
Total protein supply,France,2017,109.4
Total protein supply,France,2018,108.5
Total protein supply,France,2019,119.5
Total protein supply,France,2020,119.9
Total protein supply,Germany,1995,91.9
Total protein supply,Germany,1996,94.2
Total protein supply,Germany,1997,89.6
Total protein supply,Germany,1998,94.4
Total protein supply,Germany,1999,93.9
Total protein supply,Germany,2000,94.5
Total protein supply,Germany,2001,97.9
Total protein supply,Germany,2002,99.0
Total protein supply,Germany,2003,98.0
Total protein supply,Germany,2004,96.7
Total protein supply,Germany,2005,97.0
Total protein supply,Germany,2006,99.2
Total protein supply,Germany,2007,102.5
Total protein supply,Germany,2008,101.3
Total protein supply,Germany,2009,102.6
Total protein supply,Germany,2010,101.8
Total protein supply,Germany,2011,103.1
Total protein supply,Germany,2012,101.8
Total protein supply,Germany,2013,101.6
Total protein supply,Germany,2014,104.1
Total protein supply,Germany,2015,105.1
Total protein supply,Germany,2016,104.7
Total protein supply,Germany,2017,104.1
Total protein supply,Germany,2018,105.5
Total protein supply,Germany,2019,105.0
Total protein supply,Germany,2020,105.9
Total protein supply,Greece,1995,113.3
Total protein supply,Greece,1996,113.0
Total protein supply,Greece,1997,113.4
Total protein supply,Greece,1998,112.1
Total protein supply,Greece,1999,116.2
Total protein supply,Greece,2000,120.8
Total protein supply,Greece,2001,115.3
Total protein supply,Greece,2002,113.9
Total protein supply,Greece,2003,117.8
Total protein supply,Greece,2004,117.3
Total protein supply,Greece,2005,114.5
Total protein supply,Greece,2006,113.6
Total protein supply,Greece,2007,115.1
Total protein supply,Greece,2008,111.9
Total protein supply,Greece,2009,113.3
Total protein supply,Greece,2010,111.8
Total protein supply,Greece,2011,108.8
Total protein supply,Greece,2012,107.5
Total protein supply,Greece,2013,108.0
Total protein supply,Greece,2014,109.1
Total protein supply,Greece,2015,106.2
Total protein supply,Greece,2016,105.1
Total protein supply,Greece,2017,106.0
Total protein supply,Greece,2018,109.7
Total protein supply,Greece,2019,106.3
Total protein supply,Greece,2020,102.6
Total protein supply,Hungary,1995,81.4
Total protein supply,Hungary,1996,78.0
Total protein supply,Hungary,1997,83.0
Total protein supply,Hungary,1998,81.9
Total protein supply,Hungary,1999,83.7
Total protein supply,Hungary,2000,91.2
Total protein supply,Hungary,2001,88.8
Total protein supply,Hungary,2002,89.1
Total protein supply,Hungary,2003,87.3
Total protein supply,Hungary,2004,90.6
Total protein supply,Hungary,2005,90.6
Total protein supply,Hungary,2006,90.4
Total protein supply,Hungary,2007,87.3
Total protein supply,Hungary,2008,86.5
Total protein supply,Hungary,2009,85.1
Total protein supply,Hungary,2010,81.5
Total protein supply,Hungary,2011,81.9
Total protein supply,Hungary,2012,80.7
Total protein supply,Hungary,2013,78.8
Total protein supply,Hungary,2014,83.1
Total protein supply,Hungary,2015,85.1
Total protein supply,Hungary,2016,87.1
Total protein supply,Hungary,2017,88.5
Total protein supply,Hungary,2018,89.9
Total protein supply,Hungary,2019,90.7
Total protein supply,Hungary,2020,87.4
Total protein supply,Iceland,1995,119.4
Total protein supply,Iceland,1996,109.4
Total protein supply,Iceland,1997,114.4
Total protein supply,Iceland,1998,118.8
Total protein supply,Iceland,1999,125.2
Total protein supply,Iceland,2000,123.7
Total protein supply,Iceland,2001,121.4
Total protein supply,Iceland,2002,127.8
Total protein supply,Iceland,2003,129.5
Total protein supply,Iceland,2004,127.3
Total protein supply,Iceland,2005,129.3
Total protein supply,Iceland,2006,134.7
Total protein supply,Iceland,2007,138.2
Total protein supply,Iceland,2008,134.2
Total protein supply,Iceland,2009,134.4
Total protein supply,Iceland,2010,128.5
Total protein supply,Iceland,2011,129.6
Total protein supply,Iceland,2012,129.7
Total protein supply,Iceland,2013,128.8
Total protein supply,Iceland,2014,136.4
Total protein supply,Iceland,2015,140.5
Total protein supply,Iceland,2016,140.8
Total protein supply,Iceland,2017,144.8
Total protein supply,Iceland,2018,145.3
Total protein supply,Iceland,2019,144.3
Total protein supply,Iceland,2020,141.7
Total protein supply,Ireland,1995,106.8
Total protein supply,Ireland,1996,109.7
Total protein supply,Ireland,1997,111.6
Total protein supply,Ireland,1998,114.5
Total protein supply,Ireland,1999,117.3
Total protein supply,Ireland,2000,116.3
Total protein supply,Ireland,2001,120.5
Total protein supply,Ireland,2002,116.6
Total protein supply,Ireland,2003,116.9
Total protein supply,Ireland,2004,117.0
Total protein supply,Ireland,2005,113.0
Total protein supply,Ireland,2006,114.2
Total protein supply,Ireland,2007,111.6
Total protein supply,Ireland,2008,112.3
Total protein supply,Ireland,2009,111.6
Total protein supply,Ireland,2010,111.7
Total protein supply,Ireland,2011,108.3
Total protein supply,Ireland,2012,105.7
Total protein supply,Ireland,2013,110.0
Total protein supply,Ireland,2014,106.4
Total protein supply,Ireland,2015,114.3
Total protein supply,Ireland,2016,111.4
Total protein supply,Ireland,2017,115.5
Total protein supply,Ireland,2018,117.2
Total protein supply,Ireland,2019,115.8
Total protein supply,Ireland,2020,115.4
Total protein supply,Italy,1995,107.5
Total protein supply,Italy,1996,110.5
Total protein supply,Italy,1997,110.1
Total protein supply,Italy,1998,113.0
Total protein supply,Italy,1999,114.8
Total protein supply,Italy,2000,113.9
Total protein supply,Italy,2001,113.7
Total protein supply,Italy,2002,113.1
Total protein supply,Italy,2003,111.7
Total protein supply,Italy,2004,112.0
Total protein supply,Italy,2005,111.4
Total protein supply,Italy,2006,110.9
Total protein supply,Italy,2007,110.7
Total protein supply,Italy,2008,110.6
Total protein supply,Italy,2009,112.0
Total protein supply,Italy,2010,111.7
Total protein supply,Italy,2011,110.0
Total protein supply,Italy,2012,109.1
Total protein supply,Italy,2013,108.6
Total protein supply,Italy,2014,105.9
Total protein supply,Italy,2015,104.6
Total protein supply,Italy,2016,103.6
Total protein supply,Italy,2017,104.6
Total protein supply,Italy,2018,105.2
Total protein supply,Italy,2019,106.3
Total protein supply,Italy,2020,105.7
Total protein supply,Japan,1995,98.0
Total protein supply,Japan,1996,97.6
Total protein supply,Japan,1997,95.3
Total protein supply,Japan,1998,94.3
Total protein supply,Japan,1999,94.6
Total protein supply,Japan,2000,96.4
Total protein supply,Japan,2001,96.7
Total protein supply,Japan,2002,94.4
Total protein supply,Japan,2003,94.4
Total protein supply,Japan,2004,91.8
Total protein supply,Japan,2005,92.4
Total protein supply,Japan,2006,90.2
Total protein supply,Japan,2007,90.7
Total protein supply,Japan,2008,89.1
Total protein supply,Japan,2009,87.1
Total protein supply,Japan,2010,87.2
Total protein supply,Japan,2011,86.7
Total protein supply,Japan,2012,87.5
Total protein supply,Japan,2013,87.3
Total protein supply,Japan,2014,87.1
Total protein supply,Japan,2015,86.2
Total protein supply,Japan,2016,85.7
Total protein supply,Japan,2017,86.8
Total protein supply,Japan,2018,87.5
Total protein supply,Japan,2019,87.9
Total protein supply,Japan,2020,88.3
Total protein supply,South Korea,1995,86.4
Total protein supply,South Korea,1996,84.8
Total protein supply,South Korea,1997,84.9
Total protein supply,South Korea,1998,81.7
Total protein supply,South Korea,1999,89.5
Total protein supply,South Korea,2000,87.2
Total protein supply,South Korea,2001,87.5
Total protein supply,South Korea,2002,88.9
Total protein supply,South Korea,2003,89.2
Total protein supply,South Korea,2004,87.0
Total protein supply,South Korea,2005,87.6
Total protein supply,South Korea,2006,90.2
Total protein supply,South Korea,2007,91.1
Total protein supply,South Korea,2008,93.1
Total protein supply,South Korea,2009,91.9
Total protein supply,South Korea,2010,91.5
Total protein supply,South Korea,2011,95.6
Total protein supply,South Korea,2012,94.2
Total protein supply,South Korea,2013,95.2
Total protein supply,South Korea,2014,93.7
Total protein supply,South Korea,2015,93.6
Total protein supply,South Korea,2016,95.2
Total protein supply,South Korea,2017,97.6
Total protein supply,South Korea,2018,98.2
Total protein supply,South Korea,2019,97.9
Total protein supply,South Korea,2020,98.1
Total protein supply,Luxembourg,2000,99.2
Total protein supply,Luxembourg,2001,107.5
Total protein supply,Luxembourg,2002,106.3
Total protein supply,Luxembourg,2003,108.1
Total protein supply,Luxembourg,2004,108.1
Total protein supply,Luxembourg,2005,110.1
Total protein supply,Luxembourg,2006,109.8
Total protein supply,Luxembourg,2007,108.7
Total protein supply,Luxembourg,2008,108.2
Total protein supply,Luxembourg,2009,108.1
Total protein supply,Luxembourg,2010,110.3
Total protein supply,Luxembourg,2011,114.0
Total protein supply,Luxembourg,2012,115.7
Total protein supply,Luxembourg,2013,114.0
Total protein supply,Luxembourg,2014,111.8
Total protein supply,Luxembourg,2015,112.2
Total protein supply,Luxembourg,2016,111.4
Total protein supply,Luxembourg,2017,109.8
Total protein supply,Luxembourg,2018,108.9
Total protein supply,Luxembourg,2019,108.7
Total protein supply,Luxembourg,2020,110.4
Total protein supply,Mexico,1995,79.8
Total protein supply,Mexico,1996,79.7
Total protein supply,Mexico,1997,81.4
Total protein supply,Mexico,1998,82.1
Total protein supply,Mexico,1999,83.7
Total protein supply,Mexico,2000,86.1
Total protein supply,Mexico,2001,87.7
Total protein supply,Mexico,2002,87.9
Total protein supply,Mexico,2003,87.4
Total protein supply,Mexico,2004,87.3
Total protein supply,Mexico,2005,87.1
Total protein supply,Mexico,2006,88.0
Total protein supply,Mexico,2007,88.7
Total protein supply,Mexico,2008,88.2
Total protein supply,Mexico,2009,86.9
Total protein supply,Mexico,2010,88.4
Total protein supply,Mexico,2011,87.4
Total protein supply,Mexico,2012,87.8
Total protein supply,Mexico,2013,89.0
Total protein supply,Mexico,2014,89.7
Total protein supply,Mexico,2015,89.8
Total protein supply,Mexico,2016,90.3
Total protein supply,Mexico,2017,90.5
Total protein supply,Mexico,2018,91.6
Total protein supply,Mexico,2019,92.1
Total protein supply,Mexico,2020,91.2
Total protein supply,Netherlands,1995,110.2
Total protein supply,Netherlands,1996,109.3
Total protein supply,Netherlands,1997,104.4
Total protein supply,Netherlands,1998,106.7
Total protein supply,Netherlands,1999,104.9
Total protein supply,Netherlands,2000,107.3
Total protein supply,Netherlands,2001,108.8
Total protein supply,Netherlands,2002,102.0
Total protein supply,Netherlands,2003,97.7
Total protein supply,Netherlands,2004,105.1
Total protein supply,Netherlands,2005,105.1
Total protein supply,Netherlands,2006,108.6
Total protein supply,Netherlands,2007,106.0
Total protein supply,Netherlands,2008,108.0
Total protein supply,Netherlands,2009,110.7
Total protein supply,Netherlands,2010,107.9
Total protein supply,Netherlands,2011,107.0
Total protein supply,Netherlands,2012,112.1
Total protein supply,Netherlands,2013,111.9
Total protein supply,Netherlands,2014,108.5
Total protein supply,Netherlands,2015,107.6
Total protein supply,Netherlands,2016,107.6
Total protein supply,Netherlands,2017,102.4
Total protein supply,Netherlands,2018,103.9
Total protein supply,Netherlands,2019,107.3
Total protein supply,Netherlands,2020,112.6
Total protein supply,New Zealand,1995,105.9
Total protein supply,New Zealand,1996,97.7
Total protein supply,New Zealand,1997,97.5
Total protein supply,New Zealand,1998,93.9
Total protein supply,New Zealand,1999,93.2
Total protein supply,New Zealand,2000,87.9
Total protein supply,New Zealand,2001,90.3
Total protein supply,New Zealand,2002,90.7
Total protein supply,New Zealand,2003,91.8
